Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
,"1,600",1190987,I,,,Common Stock,,
"5,000","25,000",1683306,D,1.64,D,Common Stock,S,12/19/2019
"3,468","3,468",77159,D,0,A,Common Stock,A,12/20/2019
,"10,170.27",76334,I,,,Common Stock,,
290,"2,122",76334,D,0,D,Common Stock,G,12/19/2019
145,145,76334,I,0,A,Common Stock,G,12/19/2019
"79,428",0,1020949,D,,D,Common Stock,D,12/20/2019
17.0586,"1,742.19",1770366,D,17.0237,A,,P,12/13/2019
887.285,"2,629.47",1770366,D,17.6099,A,,P,12/19/2019
"3,351,542","42,397,080",1326533,D,,A,,M,12/18/2019
500,"2,309,989",1569590,I,8.93,A,,P,12/18/2019
"3,500","2,313,489",1569590,I,8.9,A,,P,12/19/2019
"2,336","49,292",1568078,D,73.49,D,Common Stock,S,12/19/2019
,"3,068,951",944809,D,,,Common Stock,,
"50,000","168,519,729",944809,I,1.465,A,Common Stock,P,12/19/2019
"4,300","168,524,029",944809,I,1.495,A,Common Stock,P,12/19/2019
"45,700","168,569,729",944809,I,1.5,A,Common Stock,P,12/19/2019
,"30,127,177",944809,I,,,Common Stock,,
,"20,091,062",944809,I,,,Common Stock,,
206,"79,925",1456895,D,26.02,D,Common Units,F,12/20/2019
"25,588",0,1017974,D,,D,Common Stock,D,12/18/2019
"20,000","209,826",1722010,D,2.85,A,Common Stock,M,12/19/2019
"5,672","204,154",1722010,D,10.05,D,Common Stock,F,12/19/2019
"58,000","4,340,003",1299239,I,4.0195,D,Common Stock,S,12/18/2019
"22,000","4,318,003",1299239,I,4.2618,D,Common Stock,S,12/19/2019
"8,354","4,309,649",1299239,I,4.339,D,Common Stock,S,12/20/2019
"38,320","257,695",1226425,D,5.23,A,Common Stock,M,12/18/2019
"31,066","226,629",1226425,D,6.45,D,Common Stock,F,12/18/2019
"8,459.43",0,1297704,D,,D,Common Stock,D,12/18/2019
"816,401.59",0,1297704,D,,D,Common Stock,D,12/18/2019
"11,000","196,248",1556891,D,0,A,Common Stock 15346Q 400,A,12/18/2019
,"2,779",1556891,I,,,Common Stock 15346Q 400,,
,"5,454",1556891,I,,,Common Stock 15346Q 400,,
399,"155,670",1110805,D,26.02,D,Common Units,F,12/20/2019
773,"239,836",1110805,D,26.02,D,Common Units,F,12/20/2019
"4,350","7,536.66",1394155,D,425.11,A,Common Stock,M,12/19/2019
"3,950","11,486.66",1394155,D,507.79,A,Common Stock,M,12/19/2019
"2,350","13,836.66",1394155,D,371.47,A,Common Stock,M,12/19/2019
100,"13,736.66",1394155,D,"1,219.24",D,Common Stock,S,12/19/2019
900,"12,836.66",1394155,D,"1,217.66",D,Common Stock,S,12/19/2019
"1,141","11,695.66",1394155,D,"1,216.31",D,Common Stock,S,12/19/2019
"1,400","10,295.66",1394155,D,"1,218.56",D,Common Stock,S,12/19/2019
"1,709","8,586.66",1394155,D,"1,214.13",D,Common Stock,S,12/19/2019
"2,100","6,486.66",1394155,D,"1,213.32",D,Common Stock,S,12/19/2019
"3,300","3,186.66",1394155,D,"1,215.28",D,Common Stock,S,12/19/2019
"3,048","3,048",849399,D,0,A,Common Stock,A,12/19/2019
79.9944,"6,441.70",1549564,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,253,1549564,I,,,ACNB Corporation Common,,
"124,473","244,351",1730879,D,0,A,,A,12/18/2019
"54,024","190,327",1730879,D,11.05,D,,F,12/18/2019
,"42,758",1730879,I,,,,,
"12,616",0,1404644,D,0,D,Series A Preferred Stock,C,11/12/2019
"1,261,600","2,079,639",1404644,D,0,A,Common Stock,C,11/12/2019
"119,047","2,198,686",1404644,D,8.4,A,Common Stock,P,12/20/2019
"9,156","9,156",1755882,D,0,A,Common Stock,A,12/18/2019
"8,000","13,894",1045810,D,14.48,A,Common Stock,M,12/18/2019
"2,281","11,613",1045810,D,229.9672,D,Common Stock,S,12/18/2019
"5,288","6,325",1045810,D,230.9695,D,Common Stock,S,12/18/2019
431,"5,894",1045810,D,231.5097,D,Common Stock,S,12/18/2019
"10,000","18,877",1736319,D,0,A,Common Stock,A,12/20/2019
299,"199,294",748592,I,2.7234,A,,P,12/19/2019
,"157,071",748592,D,,,,,
300,"130,867",1013272,D,32.34,A,Common Stock,M,12/20/2019
,90,1013272,I,,,Common Stock,,
,210,1013272,I,,,Common Stock,,
,30,1013272,I,,,Common Stock,,
,560,1013272,I,,,Common Stock,,
,700,1013272,I,,,Common Stock,,
94,"9,038",748592,D,2.73,D,Common Stock,F,12/19/2019
"10,230","114,759",1265669,I,7.82,A,Common,C,12/19/2019
"3,200",0,1265669,D,7.82,D,Depositary Shares,C,12/19/2019
,895,1265669,I,,,Common,,
,"1,605",1265669,I,,,Common,,
,725,1265669,I,,,Common,,
,"2,938",1265669,D,,,Common,,
"3,940","3,940",1690680,D,,A,,M,12/19/2019
"3,940",0,1690680,D,13.61,D,,D,12/19/2019
,"2,901",1690680,I,,,,,
,"10,410",1690680,I,,,,,
,"1,043",1690680,I,,,,,
"77,609","2,605,218",1183470,D,34.5,A,Common Stock,M,12/20/2019
"77,609","2,527,609",1183470,D,41.05,D,Common Stock,S,12/20/2019
,"24,530",1183470,I,,,Common Stock,,
,458.4268,1183470,I,,,Common Stock,,
,"33,345.15",1183470,I,,,Common Stock,,
,"175,533",1183470,I,,,Common Stock,,
,"24,530",1183470,I,,,Common Stock,,
"40,000","2,009,574",1258602,D,0,D,Class A Common Stock,G,9/30/2019
,"165,741",1258602,D,,,Class B Common Stock,,
,"245,216",1258602,I,,,Class B Common Stock,,
,"1,600,000",1258602,I,,,Class B Common Stock,,
,"889,660",1258602,I,,,Class B Common Stock,,
,"374,650",1258602,I,,,Class B Common Stock,,
"4,507","99,491",1444380,D,111.5,D,Common Stock,F,12/19/2019
,"481,637",1258602,I,,,Class B Common Stock,,
,"313,570",1258602,I,,,Class B Common Stock,,
,"388,727",1258602,I,,,Class B Common Stock,,
,"1,586,691",1258602,I,,,Class B Common Stock,,
,"276,195",1258602,I,,,Class B Common Stock,,
,"444,511",1258602,I,,,Class B Common Stock,,
,"490,033",1258602,I,,,Class B Common Stock,,
,"247,654",1258602,I,,,Class B Common Stock,,
,"376,706",1258602,I,,,Class B Common Stock,,
,"419,585",1258602,I,,,Class B Common Stock,,
,"4,160",1258602,I,,,Class A Common Stock,,
,"1,983",1258602,I,,,Class A Common Stock,,
,"1,215",1258602,I,,,Class A Common Stock,,
,"125,000",1258602,I,,,Class B Common Stock,,
,"125,000",1258602,I,,,Class B Common Stock,,
,"125,000",1258602,I,,,Class B Common Stock,,
,"151,209",1258602,I,,,Class B Common Stock,,
,"151,210",1258602,I,,,Class B Common Stock,,
,"151,209",1258602,I,,,Class B Common Stock,,
,100,1258602,I,,,Class B Common Stock,,
,100,1258602,I,,,Class B Common Stock,,
,100,1258602,I,,,Class B Common Stock,,
,100,1258602,I,,,Class B Common Stock,,
,100,1258602,I,,,Class B Common Stock,,
47,"338,791",865058,I,14.91,A,Common Stock,P,12/18/2019
571,"339,362",865058,I,14.91,A,Common Stock,P,12/20/2019
200,"94,499",1005547,I,0,D,Common Stock,G,12/20/2019
"35,000","1,661,665",1676306,D,43.0901,D,Ordinary Shares,S,12/19/2019
,"3,930",1676306,D,,,Restricted Share Units,,
30.7059,"6,811.28",1765486,D,81.3525,A,Common Stock,A,12/18/2019
6.1215,107.8171,1765486,I,81.3525,A,Common Stock,L,12/18/2019
"468,750","468,750",1645469,I,8,A,Common stock,P,12/18/2019
,"3,055,394.12",1645469,I,,,Common stock,,
"156,250","156,250",1645469,I,8,A,Common stock,P,12/18/2019
313.75,313.75,1645469,D,8,A,Common stock,P,12/18/2019
,"3,055,394.12",1645469,I,,,Common stock,,
,3/8/2020,1699869,3/8/2020,,84.47,Restricted Stock Units,,0
,3/7/2021,1699869,3/7/2021,,82.18,Restricted Stock Units,,0
,4/4/2022,1699869,4/4/2022,,157.15,Restricted Stock Units,,0
"2,639,744",0,1790636,D,0,D,,J,12/18/2019
"138,506","138,506",1390808,D,0,A,Common Stock,A,12/18/2019
"10,000","56,599",1576263,D,0,D,Common Stock,G,12/19/2019
"12,121","12,121",1588389,I,1.485,A,Common Stock,M,12/18/2019
"5,000","7,121",1588389,I,17.1781,D,Common Stock,S,12/18/2019
"7,121",0,1588389,I,17.1809,D,Common Stock,S,12/18/2019
"3,200","28,154",1413727,D,0,A,Common Stock 15346Q 400,A,12/18/2019
"5,109","67,557.46",1576362,D,0,A,Common Stock,A,12/18/2019
"1,500","66,057.46",1576362,D,7.83,D,Common Stock,F,12/18/2019
"8,000","1,793,308",1513581,D,57.702,D,Common Stock,S,12/18/2019
"8,000","1,785,308",1513581,D,57.505,D,Common Stock,S,12/19/2019
"2,500","509,563",1513581,I,57.674,D,Common Stock,S,12/18/2019
"2,500","507,063",1513581,I,57.519,D,Common Stock,S,12/19/2019
,"700,000",1513581,I,,,Common Stock,,
,"300,000",1513581,I,,,Common Stock,,
"26,750","92,743",1778095,D,28.035,D,Class A Common Stock,S,12/18/2019
"26,332","66,411",1778095,D,28.48,D,Class A Common Stock,S,12/19/2019
,"1,075,439",1778095,D,,,Class A Common Stock,,
,3/8/2020,1433465,3/8/2020,,51.35,Restricted Stock Units,,0
,3/7/2021,1433465,3/7/2021,,49.31,Restricted Stock Units,,0
,4/4/2022,1433465,4/4/2022,,58.93,Restricted Stock Units,,0
907,"5,907",1575205,D,22.4,A,Common Stock,M,12/20/2019
907,"5,000",1575205,D,159.02,D,Common Stock,S,12/20/2019
"7,000","12,000",1575205,D,19.72,A,Common Stock,M,12/20/2019
"7,000","5,000",1575205,D,159.03,D,Common Stock,S,12/20/2019
38,"1,563",1394828,D,99.56,A,Common Stock/ Deferred Compensation,J,12/20/2019
2,"1,565",1394828,D,0,A,Common Stock/ Deferred Compensation,J,12/20/2019
,"9,901",1394828,D,,,Common Stock,,
"1,230","193,538",1121142,D,12.93,D,Common Stock,F,12/18/2019
"454,025","454,025",1795037,D,0,A,Common Stock,A,12/18/2019
,"4,815,938",1795037,I,,,Common Stock,,
"1,039","101,593",1121142,D,12.93,D,Common Stock,F,12/18/2019
225,"26,785",1121142,D,12.93,D,Common Stock,F,12/18/2019
"45,000","108,115",1704723,D,0,A,Common Stock,A,12/20/2019
"571,429","17,717,346",1496461,I,0.175,A,Common Stock,A,11/22/2019
"28,831","145,493",1777085,D,28.035,D,Class A Common Stock,S,12/18/2019
"30,854","114,639",1777085,D,28.48,D,Class A Common Stock,S,12/19/2019
"25,000","89,639",1777085,D,28.6,D,Class A Common Stock,S,12/19/2019
"7,150","82,489",1777085,D,28.7,D,Class A Common Stock,S,12/19/2019
,"1,433,919",1777085,D,,,Class A Common Stock,,
"42,000","1,452,513.56",1510295,D,0,D,Common Stock,G,12/18/2019
,"1,067.43",1510295,I,,,Common Stock,,
,"38,875",1510295,I,,,Common Stock,,
"2,000","2,000",1612428,D,25,A,Series G Cumulative Preferred Stock,P,12/20/2019
101,"11,126",1668858,D,7.46,D,Common Stock,F,12/18/2019
"76,711","268,109",1690585,D,15.1558,D,Common Stock,S,12/20/2019
,"292,990",1690585,I,,,Common Stock,,
,"359,092",1690585,I,,,Common Stock,,
"2,106.01","125,879.01",1379160,D,0,A,Common Stock,M,12/18/2019
68.0091,"125,811",1379160,D,53.91,D,Common Stock,D,12/18/2019
905,"124,906",1379160,D,53.91,D,Common Stock,F,12/18/2019
114,"8,418",1690585,D,9.49,A,Common Stock,M,12/20/2019
805,"9,223",1690585,D,9.49,A,Common Stock,M,12/20/2019
44,"20,608",1186416,D,0,A,COMMON STOCK,A,12/20/2019
19,"20,627",1186416,D,0,A,COMMON STOCK,A,12/20/2019
919,"8,304",1690585,D,15,D,Common Stock,S,12/20/2019
264,"65,910",1193834,D,0,A,COMMON STOCK,A,12/20/2019
24,"65,934",1193834,D,0,A,COMMON STOCK,A,12/20/2019
"132,623",0,1197480,D,,D,Common Stock,D,12/20/2019
"138,506","158,506",1233068,D,0,A,Common Stock,A,12/18/2019
"6,500","202,279",1643505,D,4.58,D,Common Stock,S,12/19/2019
"20,000","148,368",723125,D,55,D,Common Stock,S,12/19/2019
"3,832","621,455.62",1055160,D,0,A,Common Stock,A,12/18/2019
"1,853","619,602.62",1055160,D,7.83,D,Common Stock,F,12/18/2019
"7,663","135,768.50",1055160,D,0,A,Common Stock,A,12/18/2019
"3,706","132,062.50",1055160,D,7.83,D,Common Stock,F,12/18/2019
"60,086","327,458.50",1055160,D,0,A,Common Stock,A,12/18/2019
"31,978","295,480.50",1055160,D,7.83,D,Common Stock,F,12/18/2019
"1,500","210,351",907471,D,0,D,Common Stock,G,12/9/2019
,"3,353",907471,I,,,Common Stock,,
"158,197","1,193,338.04",1055160,D,0,A,Common Stock,A,12/18/2019
"74,353","1,118,985.04",1055160,D,7.83,D,Common Stock,F,12/18/2019
73,"1,119,058.04",1055160,D,0,A,Common Stock,W,10/22/2019
"62,500","62,500",1262104,D,1.6,A,Common Stock,P,12/19/2019
"18,750","361,632",1262104,D,1.6,A,Common Stock,P,12/19/2019
9.6775,"17,629.66",1743979,D,43.758,A,Common Stock,A,12/20/2019
,"1,000",1743979,I,,,Common Stock,,
,"2,988.68",1743979,I,,,Common Stock,,
"12,500","37,500",1262104,D,1.6,A,Common Stock,P,12/19/2019
"874,326","12,656,268",1441693,I,1,A,Common Stock,M,12/19/2019
"160,195",0,1076334,I,18.51,D,Common Stock - Trust SPM,S,12/19/2019
,"3,503,057.52",1076334,D,,,Common Stock,,
,"1,330,610",1076334,I,,,Common Stock - Other,,
,"1,838",1076334,D,,,Common Stock - Retirement Shares,,
,"270,427",1076334,I,,,Common Stock - SpTrstee,,
,"76,957",1076334,I,,,Common Stock - Spouse,,
,"73,014",1076334,I,,,Common Stock - Trust 10A - SM,,
,"73,013",1076334,I,,,Common Stock - Trust 10B - SM,,
,"73,013",1076334,I,,,Common Stock - Trust 10C - SM,,
,"217,944",1076334,I,,,Common Stock - Trust DSM,,
,"200,941",1076334,I,,,Common Stock - Trust JAM,,
,"218,968",1076334,I,,,Common Stock - Trust JWMIII,,
,"45,292",1076334,I,,,Common Stock - Trust MA,,
"3,800","13,482",1222357,D,,A,Common Stock,A,12/18/2019
"1,049","12,433",1222357,D,16.73,D,Common Stock,F,12/18/2019
"2,000","34,877",1475659,D,16.34,D,Common Stock,S,12/19/2019
"3,500","11,438",1699024,D,22.75,A,First Keystone Corporation Common Stock,P,12/20/2019
912,"284,731",1053584,D,11.08,D,Common Stock,F,12/19/2019
101,"11,149",1620189,D,7.46,D,Common Stock,F,12/18/2019
500,"31,607",1705782,D,19.85,A,Common Stock,P,12/19/2019
571,"55,111",1053584,D,11.08,D,Common Stock,F,12/19/2019
,"7,032,341",901876,I,,,Common Stock,,
"3,980","3,980",901876,D,35.75,A,Common Stock,M,12/19/2019
"3,980",0,901876,D,70.0303,D,Common Stock,S,12/19/2019
"7,803","244,455",1094718,D,18.3187,D,Common Stock,S,12/20/2019
"10,124","115,915",1701758,D,0,A,,A,12/18/2019
"4,860","111,055",1701758,D,11.05,D,,F,12/18/2019
"3,879","114,934",1701758,D,0,A,,J,12/18/2019
"10,124","67,451",1701758,D,0,A,,A,12/18/2019
"4,860","62,591",1701758,D,11.05,D,,F,12/18/2019
"175,478","3,611,361",1701758,I,0,D,,D,12/18/2019
"3,611,361",0,1701758,I,0,D,,J,12/18/2019
"2,628,569","2,628,569",1701758,I,0,A,,J,12/18/2019
"446,145","1,654,082",1701758,I,0,D,,J,12/18/2019
"430,304","430,304",1701758,I,0,A,,J,12/18/2019
,"154,433",1701758,I,,,,,
159.9889,"10,359.36",1399227,D,35.94,A,ACNB Corporation Common,A,12/13/2019
"1,000","161,004",1491419,D,1.995,A,,P,12/18/2019
404,"161,408",1491419,D,2.0114,A,,P,12/19/2019
,"17,243,693",1491419,I,,,,,
"93,104","93,104",1795135,D,0,A,Common Stock,A,12/18/2019
"13,163","593,580",1335258,D,69.83,D,Common Stock,F,12/19/2019
"4,851","16,300",1649692,D,0,A,Common Stock,A,12/18/2019
"21,238","56,362",1462119,D,14.75,D,Common,S,12/18/2019
"8,762","47,600",1462119,D,14.76,D,Common,S,12/19/2019
,"2,690,734",1436208,D,,,,,
,"1,000,000",1436208,I,,,Common Stock,,
"3,954","3,210,000",1436208,I,15.37,D,Common Stock,S,12/19/2019
,"100,000",1436208,I,,,Common Stock,,
"571,428","10,959,834",1496341,I,0.175,A,Common Stock,A,11/22/2019
"115,380","207,743",1359575,D,3.42,A,Common Stock,M,12/18/2019
"135,172","342,915",1359575,D,7.95,A,Common Stock,M,12/18/2019
"115,075","457,900",1359575,D,6.7,A,Common Stock,M,12/18/2019
"92,623","550,613",1359575,D,2.51,A,Common Stock,M,12/18/2019
"37,500","588,113",1359575,D,1.16,A,Common Stock,M,12/18/2019
"273,520","314,593",1359575,D,20.11,D,Common Stock,F,12/18/2019
"75,000","224,096.07",1704701,D,0,A,Common Stock,A,12/20/2019
,"3,000",1704701,I,,,Common Stock,,
,"5,000",1704701,I,,,Common Stock,,
"9,100","339,764",1073397,D,0,D,Common Stock,G,12/19/2019
,"986,843",1073397,I,,,Common Stock,,
"10,211","1,296,884",1031749,D,0,D,DXP Common Stock,G,12/13/2019
"34,410","79,420",94845,D,19.5359,D,Class A Common Stock,S,12/18/2019
"4,920","84,340",94845,D,0,A,Class A Common Stock,C,12/19/2019
"4,920","79,420",94845,D,19.62,D,Class A Common Stock,S,12/19/2019
17.1489,"37,006.62",58492,D,43.758,A,Common Stock,A,12/20/2019
52.5269,"489,240.43",58492,D,43.758,A,Common Stock,A,12/20/2019
747.1161,"489,987.55",58492,D,41.184,A,Common Stock,A,12/20/2019
,"22,160.69",58492,I,,,Common Stock,,
12.5783,"61,693.61",58492,D,43.758,A,Common Stock,A,12/20/2019
230.1867,"61,923.80",58492,D,41.184,A,Common Stock,A,12/20/2019
21.983,"111,929.14",58492,D,43.758,A,Common Stock,A,12/20/2019
,"23,541.99",58492,I,,,Common Stock,,
,"3,938",58492,I,,,Common Stock,,
25.0594,"112,219.06",58492,D,43.758,A,Common Stock,A,12/20/2019
"4,000","77,697",855658,D,19.77,D,Common Stock,S,12/20/2019
"30,000","30,000",1468748,D,,A,Common Stock,M,12/18/2019
"8,533","21,467",1468748,D,15.51,D,Common Stock,F,12/18/2019
"25,974","203,436",1370825,D,155.41,D,Common Shares,S,12/18/2019
100,"203,336",1370825,D,156.37,D,Common Shares,S,12/18/2019
,"2,658.66",1370825,I,,,Common Shares,,
,"2,659.67",1370825,I,,,Common Shares,,
,"2,659.67",1370825,I,,,Common Shares,,
,"58,736",1370825,I,,,Common Shares,,
"50,000","346,954",1645666,D,0.9,A,Common Stock,M,12/19/2019
"1,500","19,511",1640309,D,,A,common stock,P,12/20/2019
"252,013","252,013",1451693,D,0,A,Common Stock,A,12/18/2019
,"2,312,515",1451693,I,,,Common Stock,,
159.9889,"15,945.30",1549663,D,35.94,A,ACNB Corporation Common,A,12/13/2019
"227,013","388,206",1719489,D,0,A,Common Stock,A,12/18/2019
"32,422","37,422",1788750,D,0,A,Common Stock,A,12/18/2019
"93,104","93,104",1719489,D,0,A,Common Stock,A,12/18/2019
,"4,631,142",1719489,I,,,Common Stock,,
"15,369","15,369",1227451,D,,A,Common Stock,A,12/18/2019
"13,578",0,1227451,D,,D,Common Stock,D,12/18/2019
"20,000","1,089,377",1234878,I,45.8204,D,Common Stock,S,12/18/2019
"20,000","1,069,377",1234878,I,45.6797,D,Common Stock,S,12/19/2019
,"52,811",1234878,D,,,Common Stock,,
"1,916","200,931",1008079,D,366.48,D,Class A Common,S,12/20/2019
"1,551","199,380",1008079,D,367.34,D,Class A Common,S,12/20/2019
"2,485","196,895",1008079,D,368.49,D,Class A Common,S,12/20/2019
"2,540","194,355",1008079,D,369.63,D,Class A Common,S,12/20/2019
"1,508","192,847",1008079,D,370.27,D,Class A Common,S,12/20/2019
,"44,248",1008079,I,,,Class A Common,,
,"23,486",1008079,I,,,Class A Common,,
,"39,300",1008079,I,,,Class A Common,,
,"5,000",1008079,I,,,Class A Common,,
,"3,656",1008079,I,,,Class A Common,,
,"2,532",1008079,I,,,Class A Common,,
"250,000","4,050,066",1601692,I,6.44,D,Common Stock,S,12/18/2019
"750,000","3,300,066",1601692,I,6.5,D,Common Stock,S,12/18/2019
"1,000,000","2,300,066",1601692,I,6.32,D,Common Stock,S,12/20/2019
"2,000,000","4,300,066",1601692,I,1.8,A,Common Stock,C,12/20/2019
16,"15,423",1188275,D,0,A,COMMON STOCK,A,12/20/2019
"17,500","367,168",930420,D,40.19,D,Common Stock,S,12/18/2019
"5,000","362,168",930420,D,40.28,D,Common Stock,S,12/19/2019
63,"17,556",924750,I,68.2024,A,Common Stock,A,12/18/2019
186,"52,941",924750,I,0,D,Common Stock,G,10/28/2019
,"13,391",924750,I,,,Common Stock,,
,"19,774",924750,I,,,Common Stock,,
,"1,237,588",924750,D,,,Common Stock,,
,"13,391",924750,I,,,Common Stock,,
,"19,614",924750,I,,,Common Stock,,
,"211,996",924750,I,,,Common Stock,,
,"13,384",924750,I,,,Common Stock,,
,"19,766",924750,I,,,Common Stock,,
535,"147,627",1184697,I,68.2024,A,Common Stock,A,12/18/2019
"100,000","62,731,838",1197916,D,68.2751,D,Common,S,12/20/2019
"50,000","1,904,377",1217614,D,18.59,D,Common Stock,G,12/20/2019
"50,000","415,776",1217614,I,18.59,A,Common Stock,G,12/20/2019
,"57,643",1184697,I,,,Common Stock,,
,"20,716",1184697,I,,,Common Stock,,
,"37,225",1184697,I,,,Common Stock,,
,"9,599",1184697,I,,,Common Stock,,
,"895,230",1184697,D,,,Common Stock,,
,"37,468",1184697,I,,,Common Stock,,
,"6,599",1184697,I,,,Common Stock,,
,"37,017",1184697,I,,,Common Stock,,
,"211,996",1184697,I,,,Common Stock,,
"3,908","3,908",1795418,D,0,A,Common Stock,A,12/19/2019
11,"5,587",1578217,D,0,A,COMMON STOCK,A,12/20/2019
"1,500","23,741",1622353,D,19.61,A,Common Stock,P,12/19/2019
"171,221",0,1044584,D,,D,Common Stock,D,12/20/2019
"400,000",0,1044584,I,,D,Common Stock,D,12/20/2019
"8,000","10,566",1254747,D,0.93,A,Common Stock,A,12/19/2019
"8,000","2,566",1254747,D,25.65,D,Common Stock,S,12/19/2019
"8,000","10,566",1254747,D,0.93,A,Common Stock,A,12/20/2019
"8,000","2,566",1254747,D,25.33,D,Common Stock,S,12/20/2019
"3,000","3,000",1373097,D,0,A,Common Shares,M,12/18/2019
"1,245","1,755",1373097,D,52.13,D,Common Shares,F,12/18/2019
"700,000","700,000",1044584,I,,A,Common Stock,A,12/20/2019
"299,637","299,637",1044584,D,,A,Common Stock,A,12/20/2019
"466,877","766,514",1044584,D,,A,Common Stock,A,12/20/2019
"72,648","839,162",1044584,D,,A,Common Stock,A,12/20/2019
24,"18,914",807882,D,0,A,COMMON STOCK,A,12/20/2019
24,"18,938",807882,D,0,A,COMMON STOCK,A,12/20/2019
"1,700","53,412",1609550,D,71.07,D,Common Stock,S,12/18/2019
"3,100","50,312",1609550,D,72.03,D,Common Stock,S,12/18/2019
200,"50,112",1609550,D,72.39,D,Common Stock,S,12/18/2019
"4,500","45,612",1609550,D,70.61,D,Common Stock,S,12/18/2019
500,"45,112",1609550,D,71.49,D,Common Stock,S,12/18/2019
"7,196","27,251",874015,D,10.82,A,Common Stock,M,12/20/2019
"4,215","23,036",874015,D,61.52,D,Common Stock,F,12/20/2019
"3,438","26,474",874015,D,10.82,A,Common Stock,M,12/20/2019
"2,014","24,460",874015,D,61.52,D,Common Stock,F,12/20/2019
,"8,320,032",896878,I,,,Common Stock,,
"7,548","125,785",896878,I,265.062,D,Common Stock,S,12/20/2019
"67,739","58,046",896878,I,265.9194,D,Common Stock,S,12/20/2019
"36,732","21,314",896878,I,266.8145,D,Common Stock,S,12/20/2019
3,"21,311",896878,I,267.38,D,Common Stock,S,12/20/2019
154,"7,444",1270073,D,119.45,D,Common Stock,S,12/19/2019
"25,000","2,198,111",1393540,D,0.019,A,Common Stock,P,12/16/2019
"100,000","2,298,111",1393540,D,0.018,A,Common Stock,P,12/17/2019
"25,000","2,323,111",1393540,D,0.018,A,Common Stock,P,12/19/2019
"25,000","2,348,111",1393540,D,0.018,A,Common Stock,P,12/20/2019
,"654,278",1393540,I,,,Common Stock,,
,"354,278",1393540,I,,,Common Stock,,
"10,000","40,000",884650,D,0.035,A,Common Stock,P,12/17/2019
,"134,134",917520,D,,,Common Stock,,
"491,205","10,891,205",917520,I,59.42,D,Common Stock,S,12/19/2019
,"4,000",917520,I,,,Common Stock,,
"700,000","212,316",1468174,I,85.697,D,Class A Common Stock,S,12/19/2019
,"27,431",1468174,I,,,Class A Common Stock,,
"1,074","480,897",1383557,D,60.35,D,Common Stock,F,12/19/2019
"1,500","37,294",1547546,D,,A,common stock,P,12/20/2019
"1,500","53,293",1547546,D,,A,common stock,P,12/20/2019
884,"36,633",1503187,I,367.97,D,Common Stock,S,12/19/2019
"1,213","35,420",1503187,I,369.27,D,Common Stock,S,12/19/2019
"1,903","33,517",1503187,I,370.32,D,Common Stock,S,12/19/2019
"1,050","7,992",1565717,D,0,D,Humana Common,G,12/20/2019
"1,084","8,341",1557593,D,105.06,D,Common Stock,S,12/19/2019
"7,200","188,158",1378745,D,0,D,Common Stock,G,12/16/2019
,"2,021,839",1378745,I,,,Common Stock,,
114,"51,355.86",1710902,D,0,D,,G,12/18/2019
114,"51,241.86",1710902,D,0,D,,G,12/19/2019
"5,000","116,081",48039,D,51,D,Common Stock,S,12/20/2019
,3/8/2020,1334894,3/8/2020,,14.9,Restricted Stock Units,,0
,3/7/2021,1334894,3/7/2021,,14.79,Restricted Stock Units,,0
,4/4/2022,1334894,4/4/2022,,37.32,Restricted Stock Units,,0
527.0189,"23,033.02",1621819,D,0,A,Common Stock,M,12/18/2019
17.0189,"23,016",1621819,D,53.91,D,Common Stock,D,12/18/2019
191,"22,825",1621819,D,53.91,D,Common Stock,F,12/18/2019
,"3,823",1774167,D,,,Common Stock,,
"6,716","77,917",1492426,D,35,D,Ordinary Shares,S,12/18/2019
159.9889,"3,257.56",1710848,D,35.94,A,ACNB Corporation Common,A,12/13/2019
,947.3165,1710848,I,,,ACNB Corporation Common,,
,880,1710848,I,,,ACNB Corporation Common,,
,"1,052",1710848,I,,,ACNB Corporation Common,,
26.3139,"11,794.79",1397236,D,17.0237,A,,P,12/13/2019
993.7592,"12,788.55",1397236,D,17.6099,A,,P,12/19/2019
736,"16,422",1543753,D,15.57,D,Common Stock,F,12/18/2019
"6,000","30,829",1573212,D,0,A,Common Stock 15346Q 400,A,12/18/2019
"15,671","153,991",1777084,D,28.035,D,Class A Common Stock,S,12/18/2019
"15,428","138,563",1777084,D,28.48,D,Class A Common Stock,S,12/19/2019
"24,160","114,403",1777084,D,28.181,D,Class A Common Stock,S,12/19/2019
,"716,960",1777084,D,,,Class A Common Stock,,
"2,954","3,782.92",1657355,D,587.13,A,Common Stock,M,12/19/2019
"2,100","5,882.92",1657355,D,744.62,A,Common Stock,M,12/19/2019
300,"5,582.92",1657355,D,"1,222.31",D,Common Stock,S,12/19/2019
561,"5,021.92",1657355,D,"1,225.02",D,Common Stock,S,12/19/2019
700,"4,321.92",1657355,D,"1,223.53",D,Common Stock,S,12/19/2019
"3,493",828.9158,1657355,D,"1,221.31",D,Common Stock,S,12/19/2019
"4,700","42,007",1008291,D,0,A,Common Stock 15346Q 400,A,12/18/2019
327,"64,067",1193778,D,29.79,A,Common Stock,A,12/20/2019
,3/8/2020,1345974,3/8/2020,,53,Restricted Stock Units,,0
