Amount,AmountOfSecurityOwned,CIK,OwnershipForm,Price,SecuritiesAcquirednDisposed,TitleOfSecurity,TransactionCode,TransactionDate
"1,113","102,029",1744489,D,146.32,D,Disney Common Stock,S,12/19/2019
,"12,170.80",1744489,I,,,Disney Common Stock,,
"1,163","212,396",1527821,D,24.21,A,Common Stock,A,12/18/2019
"2,202.98","35,606.98",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
"1,093.98","34,513",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
"3,515","38,028",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
"1,743","36,285",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
739,"35,546",1744489,D,146.32,D,Disney Common Stock,S,12/19/2019
,282.955,1744489,I,,,Disney Common Stock,,
,100,1744489,I,,,Disney Common Stock,,
"3,097.59","135,393.59",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
"1,536.59","133,857",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
"3,754","137,611",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
"1,862","135,749",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
,"4,039.52",1744489,I,,,Disney Common Stock,,
"1,391.93","24,920.93",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
658.9331,"24,262",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
"1,775","26,037",1744489,D,146.0586,A,Disney Common Stock,M,12/19/2019
881,"25,156",1744489,D,146.0586,D,Disney Common Stock,F,12/19/2019
,"2,676.07",1744489,I,,,Disney Common Stock,,
"609,375","3,131,317",1508045,D,0,A,,A,12/13/2019
,"1,271,182",1508045,I,,,,,
871,"12,053",1636371,D,30.35,A,Common Stock,M,12/19/2019
423,"11,630",1636371,D,30.35,D,Common Stock,F,12/19/2019
,"1,412",1636371,I,,,Common Stock,,
"58,480","181,291",1742930,D,0,A,Common Stock,A,12/18/2019
299,"61,879",1479202,D,11.08,D,Common Stock,F,12/19/2019
17.0586,"2,182.19",1469388,D,17.0237,A,,P,12/13/2019
887.285,"3,069.47",1469388,D,17.6099,A,,P,12/19/2019
"2,925","922,521",1604457,D,,A,Common Stock,M,12/18/2019
743,"921,778",1604457,D,1.81,D,Common Stock,F,12/18/2019
671.65,"23,376.40",1252977,D,16.03,D,"UMH Properties, Inc.",G,12/18/2019
"7,408","23,240",108516,D,43.49,D,Common Shares,S,12/20/2019
"20,000","102,177",1227560,D,3.62,A,Common Stock,M,12/19/2019
"20,000","82,177",1227560,D,16.2192,D,Common Stock,S,12/19/2019
"10,000","15,000",1228861,D,10.2,A,Class A Common Stock,P,12/18/2019
"31,172",0,1044565,D,,D,Common Stock,D,12/20/2019
400,"4,316,368",1246514,I,27.9903,A,Common Units Representing Limited Partnership Interests,P,12/18/2019
400,"4,316,368",1246514,I,27.9903,A,Common Units Representing Limited Partnership Interests,P,12/18/2019
400,"4,316,368",1246514,I,27.9903,A,Common Units Representing Limited Partnership Interests,P,12/18/2019
"10,000","198,250",936728,D,9.24,A,Common Stock,M,12/18/2019
400,"4,316,368",1246514,I,27.9903,A,Common Units Representing Limited Partnership Interests,P,12/18/2019
,"70,408,549",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"591,049,499",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"4,346,154",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"20,000",936728,I,,,Common Stock,,
,"2,723,052",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"2,834,198",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"6,400,000",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"1,600,000",1246514,I,,,Common Units Representing Limited Partnership Interests,,
,"1,111,438",1246514,I,,,Common Units Representing Limited Partnership Interests,,
