AmountDer,AmountOfSecurityOwnedDer,CIKDer,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
10,"7,924",1626115,,,D,0.00,10,,Class A Common Stock,Restricted Stock Units,A,12/18/2019
"10,586",0,1020949,0.0,,D,,,"10,586",Common Stock,Restricted Stock Units,D,12/20/2019
"600,000","600,000",1636651,4.42,12/17/2029,D,0.00,"600,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"100,000","100,000",1636651,4.42,12/17/2029,D,0.00,"100,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"125,000","125,000",1636651,4.42,12/17/2029,D,0.00,"125,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"3,351,542","18,936,254",1326533,1,12/31/2021,D,,,"3,351,542",Common Stock,Warrant,M,12/18/2019
"3,351,542","3,351,542",1326533,1.75,01/01/2023,D,,"3,351,542",,Common Stock,Warrant,M,12/18/2019
"20,000","30,000",1722010,2.85,08/19/2020,D,0.00,,"20,000",Common Stock,Stock Option (right to buy),M,12/19/2019
"38,320",0,1226425,5.23,01/01/2020,D,0,"38,320",,Common Stock,Stock Option (Right to Buy),M,12/18/2019
"10,869","10,869",1752965,12.65,12/19/2029,D,0.00,"10,869",,Common Stock,Stock Option (right to buy),A,12/19/2019
"3,950","1,975",1394155,507.79,09/24/2024,D,0.0000,,"3,950",Common Stock,Non-Qualified Stock Option (right to buy),M,12/19/2019
"2,350",0.0000,1394155,371.47,09/28/2022,D,0.0000,,"2,350",Common Stock,Non-Qualified Stock Option (right to buy),M,12/19/2019
"4,350",0.0000,1394155,425.11,10/02/2023,D,0.0000,,"4,350",Common Stock,Non-Qualified Stock Option (right to buy),M,12/19/2019
"29,527","29,527",1755882,27.05,07/15/2029,D,0.00,"29,527",,Common Stock,,A,12/18/2019
"8,000","42,000",1045810,14.48,01/09/2022,D,0,,"8,000",Common Stock,Stock Option (Right to Buy),M,12/18/2019
300,"1,000",1013272,32.34,12/11/2028,D,0.00,,300,Common Stock,Option-Right to Buy,M,12/20/2019
"3,940",0,1690680,,,D,,,"4,222",,Newmark Holdings Exchangeable Limited Partnership Units,M,12/19/2019
"1,854","1,854",1223930,,,D,0.00,"1,854",,Common Stock,Restricted Stock Units,A,12/19/2019
"75,000",0,1790636,16,06/29/2021,D,0,"75,000",,Common Stock,Warrants to Purchase Common Stock,J,12/18/2019
"43,000","43,000",1774519,3.4,12/18/2029,D,0,"43,000",,Common Stock,Stock Option (Right to Buy),A,12/18/2019
"12,121",0,1588389,1.485,12/05/2022,I,0.00,,"12,121",Common Stock,Stock Option (right to buy),M,12/18/2019
907,0,1575205,22.4,07/31/2022,D,22.4,,907,Common Stock,Non-Qualified Stock Option (Right to Buy),M,12/20/2019
"7,000","13,000",1575205,19.72,04/25/2023,D,19.72,,"7,000",Common Stock,Non-Qualified Stock Option (Right to Buy),M,12/20/2019
"2,106.0091","4,212.0182",1379160,,,D,0.00,"2,106.0091",,Common Stock,Restricted Stock Units,M,12/18/2019
"9,549.0302","9,549.0302",1379160,,,D,,,,Common Stock,Restricted Stock Units,,
"2,633.2633","2,633.2633",1379160,,,D,,,,Common Stock,Restricted Stock Units,,
"4,002.5867","4,002.5867",1379160,,,D,,,,Common Stock,Restricted Stock Units,,
"11,109","11,109",1379160,,,D,,,,Common Stock,Restricted Stock Units,,
"5,795.1145","5,795.1145",1379160,,,D,,,,Common Stock,Restricted Stock Units,,
"25,946","25,946",1379160,18.48,11/19/2020,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"15,000","15,000",1379160,30.97,11/20/2021,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"26,086","26,086",1379160,21.52,11/12/2022,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"20,000","20,000",1379160,30.96,11/14/2023,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"16,304","16,304",1379160,44.87,12/18/2027,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
"15,173","15,173",1379160,47.45,12/06/2028,D,,,,Common Stock,Nonqualified Stock Option (right to buy),,
805,"236,239",1690585,9.49,04/25/2028,D,0.00,,805,Common Stock,Stock Option (Right to Buy),M,12/20/2019
114,"236,125",1690585,9.49,04/25/2028,D,0.00,,114,Common Stock,Stock Option (Right to Buy),M,12/20/2019
"10,869","10,869",1021029,12.65,12/19/2029,D,0.00,"10,869",,Common Stock,Stock Option (right to buy),A,12/19/2019
